2016-09-03 16:36:02 Budget fixing started.
2016-09-03 16:36:02 Budget reset successfully for 2016-6
2016-09-03 16:36:03 2016-6 tickets: Page 1: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 74, TR Total: 4709.5270, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 75, TR Total: 5712.3294, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 76, TR Total: 2703.9222, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 77, TR Total: 3957.4252, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 78, TR Total: 2202.5210, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 79, TR Total: 5712.3294, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 80, TR Total: 4066.5310, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 81, TR Total: 5210.9282, SC: 29
2016-09-03 16:36:03 2016-6 tickets: Page 8: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 82, TR Total: 5712.3294, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 83, TR Total: 1469.7218, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 85, TR Total: 6374.0768, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 86, TR Total: 4564.8688, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 87, TR Total: 6374.0768, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 88, TR Total: 5469.4728, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 89, TR Total: 5921.7748, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 90, TR Total: 5469.4728, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 91, TR Total: 1577.2270, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 92, TR Total: 5761.2060, SC: 7
2016-09-03 16:36:03 2016-6 tickets: Page 9: 10
2016-09-03 16:36:03 2016-6 budget updated for TR: 93, TR Total: 1577.2270, SC: 7
2016-09-03 16:36:03 2016-6 budget updated for TR: 94, TR Total: 7452.7128, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 95, TR Total: 1510.9640, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 96, TR Total: 5253.3600, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 97, TR Total: 19682.0104, SC: 29
2016-09-03 16:36:03 2016-6 budget updated for TR: 98, TR Total: 1469.7218, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 99, TR Total: 4119.7324, SC: 27
2016-09-03 16:36:03 2016-6 budget updated for TR: 100, TR Total: 4542.1212, SC: 27
